marca_filtro,modelo_filtro,brand,model,version,discount_pct,price_main_text,price_main,price_lista,bono_marca,bono_financiamiento,consumo_urbano,traccion,pasajeros,url_modelo
<<<<<<< HEAD
GWM,poer,GWM,Poer,Diésel 4x2 Deluxe,12.9,$20.813.100*,20813100,23907100,2142000,952000,,,,https://www.dercocenter.cl/auto/great-wall/poer
GWM,poer,GWM,Poer,Diésel 4x4 Deluxe,12.8,$22.598.100*,22598100,25930100,2380000,952000,,,,https://www.dercocenter.cl/auto/great-wall/poer
GWM,poer,GWM,Poer,Diésel 4x2 Elite Pant,26.3,$16.648.100*,16648100,22598100,,952000,,,,https://www.dercocenter.cl/auto/great-wall/poer
GWM,ora-03,GWM,ORA 03,GT,22.4,$25.990.000*,25990000,33490000,,1500000,,,,https://www.dercocenter.cl/auto/great-wall/ora-03
GWM,ora-03,GWM,ORA 03,SR,35.9,$16.990.000*,16990000,26490000,,1500000,,,,https://www.dercocenter.cl/auto/great-wall/ora-03
=======
GWM,ora-03,GWM,ORA 03,SR,30.2,$18.490.000*,18490000,26490000,6500000,1500000,,,,https://www.dercocenter.cl/auto/great-wall/ora-03
GWM,ora-03,GWM,ORA 03,GT,16.4,$27.990.000*,27990000,33490000,4000000,1500000,,,,https://www.dercocenter.cl/auto/great-wall/ora-03
>>>>>>> 4bbf2dc (nuevos procesos)
GWM,haval-h6,GWM,Haval H6,4x2 ELITE AT,23.4,$18.290.000*,18290000,23890000,4100000,1500000,,Si,,https://www.dercocenter.cl/auto/great-wall/haval-h6
GWM,haval-h6,GWM,Haval H6,4x4 DELUXE AT,17.3,$20.990.000*,20990000,25390000,2900000,1500000,,,,https://www.dercocenter.cl/auto/great-wall/haval-h6
<<<<<<< HEAD
GWM,haval-h6,GWM,Haval H6,4x2 DELUXE AT,25.5,$18.990.000*,18990000,25490000,,1500000,,,,https://www.dercocenter.cl/auto/great-wall/haval-h6
GWM,haval-h6-gt,GWM,Haval H6 GT,4x4 DELUXE,24.0,$22.490.000*,22490000,29590000,,1500000,,,,https://www.dercocenter.cl/auto/great-wall/haval-h6-gt
GWM,haval-h6-gt,GWM,Haval H6 GT,4x2 ELITE,15.5,$21.790.000*,21790000,25790000,2500000,1500000,,,,https://www.dercocenter.cl/auto/great-wall/haval-h6-gt
GWM,haval-dargo,GWM,Haval Dargo,4x4 DELUXE,19.0,$22.990.000*,22990000,28390000,3900000,1500000,,,,https://www.dercocenter.cl/auto/great-wall/haval-dargo
GWM,haval-dargo,GWM,Haval Dargo,4x4 DELUXE PLUS,27.4,$21.990.000*,21990000,30290000,,1500000,,,,https://www.dercocenter.cl/auto/great-wall/haval-dargo
GWM,haval-jolion-hibrido,GWM,Haval Jolion Híbrido,2WD ELITE AT HÍBRIDO,28.0,$17.490.000*,17490000,24290000,,1200000,,,,https://www.dercocenter.cl/auto/great-wall/haval-jolion-hibrido
GWM,haval-jolion-hibrido,GWM,Haval Jolion Híbrido,2WD DELUXE AT HÍBRIDO,26.5,$19.690.000*,19690000,26790000,,1200000,,,,https://www.dercocenter.cl/auto/great-wall/haval-jolion-hibrido
GWM,haval-h6-hibrido,GWM,Haval H6 Híbrido,2WD ELITE AT HÍBRIDO,23.2,$21.490.000*,21490000,27990000,,1500000,,,,https://www.dercocenter.cl/auto/great-wall/haval-h6-hibrido
GWM,haval-h6-hibrido,GWM,Haval H6 Híbrido,2WD DELUXE AT HÍBRIDO,23.3,$22.990.000*,22990000,29990000,,1500000,,,,https://www.dercocenter.cl/auto/great-wall/haval-h6-hibrido
GWM,tank-500,GWM,Tank 500,4WD,13.1,$42.990.000*,42990000,49490000,,1500000,,,,https://www.dercocenter.cl/auto/great-wall/tank-500
GWM,haval-jolion,GWM,Haval Jolion,4x2 ACTIVE MT,28.3,$12.690.000*,12690000,17690000,,1200000,,,,https://www.dercocenter.cl/auto/great-wall/haval-jolion
GWM,haval-jolion,GWM,Haval Jolion,4x2 ELITE MT,25.1,$13.990.000*,13990000,18690000,,1200000,,,,https://www.dercocenter.cl/auto/great-wall/haval-jolion
GWM,haval-jolion,GWM,Haval Jolion,4x2 ELITE AT,22.9,$15.190.000*,15190000,19690000,,1200000,,,,https://www.dercocenter.cl/auto/great-wall/haval-jolion
GWM,haval-jolion,GWM,Haval Jolion,4x2 DELUXE AT,21.4,$16.490.000*,16490000,20990000,,1200000,,,,https://www.dercocenter.cl/auto/great-wall/haval-jolion
GWM,haval-jolion-pro,GWM,Haval Jolion PRO,4X2 DELUXE AT,22.4,$16.990.000*,16990000,21890000,,1200000,,,,https://www.dercocenter.cl/auto/great-wall/haval-jolion-pro
GWM,haval-jolion-pro,GWM,Haval Jolion PRO,HÍBRIDO 4X2 ELITE AT,26.4,$19.490.000*,19490000,26490000,,1200000,,,,https://www.dercocenter.cl/auto/great-wall/haval-jolion-pro
GWM,haval-jolion-pro,GWM,Haval Jolion PRO,HÍBRIDO 4X2 DELUXE AT,26.3,$20.990.000*,20990000,28490000,,1200000,,,,https://www.dercocenter.cl/auto/great-wall/haval-jolion-pro
GWM,haval-jolion-pro,GWM,Haval Jolion PRO,4X2 ELITE AT,19.9,$16.490.000*,16490000,20590000,2900000,1200000,,,,https://www.dercocenter.cl/auto/great-wall/haval-jolion-pro
GWM,nueva-poer-plus-automatica,GWM,Nueva Poer Plus Automática,2.0T Diésel 4x2 Elite,11.9,$25.573.100*,25573100,29024100,,952000,,,,https://www.dercocenter.cl/auto/great-wall/nueva-poer-plus-automatica
GWM,nueva-poer-plus-automatica,GWM,Nueva Poer Plus Automática,2.0T Diésel 4x4 Elite,11.4,$26.763.100*,26763100,30214100,,952000,,,,https://www.dercocenter.cl/auto/great-wall/nueva-poer-plus-automatica
GWM,nueva-poer-plus-automatica,GWM,Nueva Poer Plus Automática,2.4T Diésel 4x4 Elite,15.8,$27.953.100*,27953100,33189100,,952000,,,,https://www.dercocenter.cl/auto/great-wall/nueva-poer-plus-automatica
GWM,nueva-poer-plus-automatica,GWM,Nueva Poer Plus Automática,2.0T Diésel 4x4 Deluxe,11.9,$29.143.100*,29143100,33070100,,952000,,,,https://www.dercocenter.cl/auto/great-wall/nueva-poer-plus-automatica
GWM,nueva-poer-plus-automatica,GWM,Nueva Poer Plus Automática,2.4T Diésel 4x4 Deluxe,16.4,$30.333.100*,30333100,36283100,,952000,,,,https://www.dercocenter.cl/auto/great-wall/nueva-poer-plus-automatica
GWM,nuevo-haval-h7,GWM,Nuevo Haval H7,ELITE 2WD,13.5,$21.790.000*,21790000,25190000,,1000000,,,,https://www.dercocenter.cl/auto/great-wall/nuevo-haval-h7
