marca_filtro,modelo_filtro,brand,model,version,discount_pct,price_main_text,price_main,price_lista,bono_marca,bono_financiamiento,consumo_urbano,traccion,pasajeros,url_modelo
Suzuki,swift-sport,Suzuki,Swift Sport,1.4 DIT SPORT,9.6,$17.990.000*,17990000,19890000,1200000,700000,13.3,4x2 Delantera,5,https://www.dercocenter.cl/auto/suzuki/swift-sport
Suzuki,swift-sport,Suzuki,Swift Sport,1.4 DIT AT SPORT,9.1,$19.090.000*,19090000,20990000,1200000,700000,12.9,4x2 Delantera,5,https://www.dercocenter.cl/auto/suzuki/swift-sport
Suzuki,celerio,Suzuki,Celerio,GLX PLUS,15.7,$9.690.000*,9690000,11490000,1200000,600000,,,,https://www.dercocenter.cl/auto/suzuki/celerio
Suzuki,celerio,Suzuki,Celerio,GLX AMT PLUS,14.6,$10.490.000*,10490000,12290000,1200000,600000,,,,https://www.dercocenter.cl/auto/suzuki/celerio
Suzuki,dzire-hybrid,Suzuki,Dzire Hybrid,GL MT,12.4,$11.990.000*,11990000,13690000,1000000,700000,,,,https://www.dercocenter.cl/auto/suzuki/dzire-hybrid
Suzuki,dzire-hybrid,Suzuki,Dzire Hybrid,GL CVT,11.4,$13.190.000*,13190000,14890000,1000000,700000,,,,https://www.dercocenter.cl/auto/suzuki/dzire-hybrid
Suzuki,dzire-hybrid,Suzuki,Dzire Hybrid,GLX MT,11.3,$13.390.000*,13390000,15090000,1000000,700000,,,,https://www.dercocenter.cl/auto/suzuki/dzire-hybrid
Suzuki,dzire-hybrid,Suzuki,Dzire Hybrid,GLX CVT,10.7,$14.190.000*,14190000,15890000,1000000,700000,,,,https://www.dercocenter.cl/auto/suzuki/dzire-hybrid
Suzuki,jimny,Suzuki,Jimny,1.5 GL 3P,8.5,$16.090.000*,16090000,17590000,900000,600000,,Si,,https://www.dercocenter.cl/auto/suzuki/jimny
Suzuki,jimny,Suzuki,Jimny,1.5 GL 5P,9.0,$17.190.000*,17190000,18890000,1100000,600000,,,,https://www.dercocenter.cl/auto/suzuki/jimny
Suzuki,jimny,Suzuki,Jimny,1.5 GL Winche 3P,7.3,$18.071.100*,18071100,19504100,833000,600000,,,,https://www.dercocenter.cl/auto/suzuki/jimny
Suzuki,jimny,Suzuki,Jimny,1.5 GLX 5P,8.3,$18.790.000*,18790000,20490000,1100000,600000,,,,https://www.dercocenter.cl/auto/suzuki/jimny
Suzuki,jimny,Suzuki,Jimny,1.5 AT GLX 3P,7.4,$18.890.000*,18890000,20390000,900000,600000,,Si,,https://www.dercocenter.cl/auto/suzuki/jimny
Suzuki,jimny,Suzuki,Jimny,1.5 AT GLX 5P,7.7,$20.390.000*,20390000,22090000,1100000,600000,,,,https://www.dercocenter.cl/auto/suzuki/jimny
Suzuki,alto,Suzuki,ALTO,GL PLUS,12.8,$8.190.000*,8190000,9390000,800000,400000,,,,https://www.dercocenter.cl/auto/suzuki/alto
Suzuki,new-swift-hybrid,Suzuki,New Swift Hybrid,1.2 GL Hybrid,14.1,$12.790.000*,12790000,14890000,1300000,800000,21.3,,,https://www.dercocenter.cl/auto/suzuki/new-swift-hybrid
Suzuki,new-swift-hybrid,Suzuki,New Swift Hybrid,1.2 GLX Hybrid,13.1,$13.990.000*,13990000,16090000,1300000,800000,21.3,,,https://www.dercocenter.cl/auto/suzuki/new-swift-hybrid
